cartodb_id;address_id;the_geom;the_geom_webmercator;code;status;postalcode;street;housenr;housenrext;city;rooms;price;priceext;sale_type;type;area;lotsize;volume;yearofconstruction;listedsince;dateofsale;broker
737737;0307200000433390;0101000020407100001F85EB51161103419A99999980491C41;0101000020110F00007502E4EC585C2241FD886EC3EB0C5A41;40562209;Verkocht;3814WS;Ringweg-Kruiskamp;105;c;Amersfoort;4;169500;k.k.;VK;1;79;NULL;NULL;NULL;2016-11-29;NULL;Kiers Vastgoed
2953752;NULL;NULL;NULL;40563074;Verkocht;3826**;Waterdorp Paal;2;en 3;Amersfoort;4;317500;v.o.n.;VK;NULL;125;149;NULL;NULL;NULL;NULL;Woonvast Makelaars
2953745;NULL;NULL;NULL;40563081;Verkocht;3826**;Waterdorp Paal;2;en 3;Amersfoort;4;320000;v.o.n.;VK;NULL;125;160;NULL;NULL;2016-11-29;NULL;Woonvast Makelaars
735091;0307200000419920;0101000020407100001F85EB51E2F30241AE47E17A8B421C41;0101000020110F0000A367795478502241D1FE9A45360C5A41;40563856;Verkocht;3811KD;Valkestraat;18;c;Amersfoort;2;189500;k.k.;VK;1;44;NULL;NULL;NULL;2016-11-29;NULL;Hendriks Makelaardij Amersfoort
3763645;NULL;NULL;NULL;40563864;Verkocht;3818TJ;Surinamelaan;101;a;Amersfoort;3;175000;k.k.;VK;NULL;71;NULL;NULL;NULL;2016-11-29;NULL;Buijs Regiomakelaars | Qualis
2985747;NULL;NULL;NULL;40564011;Verkocht;3826**;Waterdorp Paal;2;en 3;Amersfoort;4;345000;v.o.n.;VK;NULL;132;154;NULL;NULL;2016-11-29;NULL;Woonvast Makelaars
2985213;NULL;NULL;NULL;40564185;Verkocht;3826**;Waterdorp Paal;2;en 3;Amersfoort;4;359900;v.o.n.;VK;NULL;132;200;NULL;NULL;NULL;NULL;Woonvast Makelaars
2953743;NULL;NULL;NULL;40564323;Verkocht;3826**;Waterdorp Paal;2;en 3;Amersfoort;5;490000;v.o.n.;VK;NULL;170;297;NULL;NULL;NULL;NULL;Woonvast Makelaars
3817555;NULL;NULL;NULL;40564349;Verkocht;3826**;Waterdorp Paal;2;en 3;Amersfoort;5;488000;v.o.n.;VK;NULL;170;289;NULL;NULL;NULL;NULL;Woonvast Makelaars
2994688;NULL;NULL;NULL;40564378;Verkocht;3826**;Waterdorp Paal;2;en 3;Amersfoort;5;425000;v.o.n.;VK;NULL;149;168;NULL;NULL;2016-11-29;NULL;Woonvast Makelaars
3971015;NULL;NULL;NULL;40564397;Verkocht;3826**;Waterdorp Paal;2;en 3;Amersfoort;5;425000;v.o.n.;VK;NULL;149;168;NULL;NULL;2016-11-29;NULL;Woonvast Makelaars
742955;0307200000460691;0101000020407100007B14AE4731110341C3F5285C44341C41;0101000020110F00005DBA2FD0625C2241F6F8B6B3C10A5A41;40572549;Verkocht;3816XG;Haydnstraat;14;b;Amersfoort;4;195000;k.k.;VK;1;74;NULL;NULL;NULL;2016-11-29;NULL;Van Hell Makelaars BV
2948235;NULL;NULL;NULL;40575407;Verkocht;3826**;Waterdorp Paal;2;en 3;Amersfoort;5;479000;v.o.n.;VK;NULL;165;231;NULL;NULL;NULL;NULL;Woonvast Makelaars
